miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000070073,0.862272017,-0.066180085,1.103223189,0.28453274,0.611008553,-5.358417634
ENSMUSG00000065402,1.364077351,2.145674304,1.099598427,0.286067517,0.611866633,-5.339042095
ENSMUSG00000099096,1.148695847,-0.851721397,1.096549154,0.287363318,0.612208808,-5.379925688
ENSMUSG00000105964,0.916966809,0.047620648,1.088675593,0.290729088,0.61673632,-5.371458242
ENSMUSG00000093298,1.042525087,6.410213365,1.086237986,0.291776923,0.61673632,-5.527229405
ENSMUSG00000092830,-1.519013147,0.302793183,-1.068468448,0.299498641,0.621031356,-5.366778983
ENSMUSG00000076217,-1.360583675,0.083884992,-1.070348905,0.298674553,0.621031356,-5.371851811
ENSMUSG00000089432,-1.149251128,-0.54826102,-1.07092543,0.298422227,0.621031356,-5.398818037
ENSMUSG00000098858,0.909847803,-0.032469105,1.077567451,0.295526376,0.621031356,-5.38369926
ENSMUSG00000065519,0.960694433,15.64626311,1.06830612,0.299569856,0.621031356,-6.012329288
ENSMUSG00000098253,-0.944794616,0.53836188,-1.052171795,0.306709438,0.628679558,-5.381338724
ENSMUSG00000065529,0.540460078,15.01941141,1.049452558,0.307924681,0.628679558,-6.015865521
ENSMUSG00000077928,1.08584704,-0.689154119,1.050346007,0.307525013,0.628679558,-5.422226846
ENSMUSG00000065573,1.138456476,6.481783355,1.052256743,0.30667153,0.628679558,-5.565670582
ENSMUSG00000098823,-1.254685626,2.170059628,-1.045336799,0.309770611,0.629372281,-5.375273318
ENSMUSG00000065403,0.767872318,7.196317808,1.040436653,0.311978668,0.629372281,-5.61819762
ENSMUSG00000098807,1.055555569,0.420127326,1.043209659,0.310727743,0.629372281,-5.41307124
ENSMUSG00000099176,1.230045616,1.062622859,1.038322846,0.312934641,0.629372281,-5.417533652
ENSMUSG00000065472,0.452675691,10.90613745,1.035356367,0.314279763,0.629727852,-5.838155864
ENSMUSG00000065596,1.910194019,3.072888367,1.026005055,0.318547016,0.635914228,-5.423338578
ENSMUSG00000065516,-1.332588706,1.993240528,-1.009819246,0.32603002,0.648450851,-5.405730095
ENSMUSG00000098460,-1.385517224,2.531782438,-0.998111845,0.33151933,0.654016084,-5.43317717
ENSMUSG00000092907,-1.282041587,2.022712548,-0.993537457,0.333681676,0.654016084,-5.421573029
ENSMUSG00000070109,0.844794848,2.355551826,0.994576744,0.333189532,0.654016084,-5.436746921
