miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B,mature
MI0021585,1.230045616,1.062622859,1.038322846,0.312934641,0.629372281,-5.417533652,MIMAT0024859
MI0000152,0.452675691,10.90613745,1.035356367,0.314279763,0.629727852,-5.838155864,MIMAT0000136|MIMAT0004529
MI0000226,1.910194019,3.072888367,1.026005055,0.318547016,0.635914228,-5.423338578,MIMAT0000213|MIMAT0022690
MI0000698,-1.332588706,1.993240528,-1.009819246,0.32603002,0.648450851,-5.405730095,MIMAT0004664|MIMAT0000661
MI0022818,-1.385517224,2.531782438,-0.998111845,0.33151933,0.654016084,-5.43317717,MIMAT0027842|MIMAT0027843
MI0018044,-1.282041587,2.022712548,-0.993537457,0.333681676,0.654016084,-5.421573029,MIMAT0020643|MIMAT0022988
MI0026030,0.844794848,2.355551826,0.994576744,0.333189532,0.654016084,-5.436746921,MIMAT0031404
MI0000247,1.166448084,1.147834741,0.994036704,0.333445199,0.654016084,-5.453426132,MIMAT0000237|MIMAT0017002
MI0000392,0.794613052,-0.643648031,0.990694282,0.335030632,0.654280835,-5.477912709,MIMAT0004574|MIMAT0000372
MI0000722,-0.873795058,1.85800134,-0.982487671,0.338945657,0.657083185,-5.428986381,MIMAT0000150_1|MIMAT0004668
MI0014046,-0.766735282,-0.233686254,-0.98003302,0.340122836,0.657083185,-5.478299476,MIMAT0014874|MIMAT0014875
MI0005482,1.078712801,1.418986795,0.982609598,0.338887259,0.657083185,-5.448144968,MIMAT0017269|MIMAT0004857
MI0018032,-1.414627513,2.708315758,-0.964620989,0.34757893,0.666708338,-5.468400231,MIMAT0020631
MI0004684,1.002923122,5.556770817,0.966933271,0.346453139,0.666708338,-5.594528519,MIMAT0017256|MIMAT0003490
MI0000399,1.088773469,-0.150562935,0.951707807,0.35391242,0.676449625,-5.503859568,MIMAT0000377|MIMAT0004577
MI0026054,-1.025697396,4.194788903,-0.948222484,0.355635345,0.677340815,-5.546886993,MIMAT0031427
MI0025042,0.81824565,0.602111416,0.940203985,0.359620958,0.682520057,-5.501410431,MIMAT0029908|MIMAT0029909
MI0024992,-1.052032813,-0.723241419,-0.935082687,0.362182392,0.684969507,-5.528976991,MIMAT0029810|MIMAT0029811
MI0005549,0.777855882,5.83450126,0.929377283,0.365050546,0.687979874,-5.643890996,MIMAT0004934|MIMAT0004935
MI0000706,0.499375557,11.04006944,0.926406026,0.366550303,0.688399349,-5.948918865,MIMAT0000533|MIMAT0017058
MI0022899,-0.921835714,-0.582032393,-0.922762846,0.368394902,0.689461292,-5.536353833,MIMAT0028004|MIMAT0028005
MI0005521,-1.046626545,6.122814719,-0.91037276,0.37471504,0.694834329,-5.680601055,MIMAT0017278|MIMAT0004899
MI0000573,0.484871757,11.04642598,0.902587094,0.378723501,0.694834329,-5.97061817,MIMAT0000533_1|MIMAT0017020
MI0004965,0.546872809,9.365872706,0.90558673,0.377175753,0.694834329,-5.874782152,MIMAT0017260|MIMAT0003711
MI0025003,0.690762085,-0.693316396,0.902051034,0.379000543,0.694834329,-5.55764415,MIMAT0029832|MIMAT0029833
MI0000721,0.759460735,0.497602674,0.906471654,0.37671996,0.694834329,-5.532308735,MIMAT0000142_2|MIMAT0000143_2
MI0000257,1.212559775,5.699372642,0.909678146,0.375071503,0.694834329,-5.652132365,MIMAT0017006|MIMAT0000247
MI0022892,1.126239052,2.018279748,0.891275789,0.384598002,0.702706181,-5.527550852,MIMAT0027990|MIMAT0027991
MI0000649,-1.043811821,7.762640411,-0.868700306,0.39650235,0.713737459,-5.817398753,MIMAT0017046|MIMAT0000616
MI0009990,-0.629544194,6.354432846,-0.866008872,0.397937535,0.713737459,-5.732735994,MIMAT0009455
MI0000393,0.66134907,-0.301158761,0.862569586,0.399776445,0.713737459,-5.581980718,MIMAT0004575|MIMAT0000373
MI0003537,0.815291306,2.415811568,0.872719411,0.394365518,0.713737459,-5.5423378,MIMAT0001546_1|MIMAT0004789
MI0021930,0.823859516,-0.537322801,0.862329822,0.399904847,0.713737459,-5.58678714,MIMAT0025146
MI0001163,1.083461346,4.672585313,0.862568547,0.399777001,0.713737459,-5.634927681,MIMAT0004747|MIMAT0001093
MI0000707,1.110982367,2.876606071,0.865009409,0.398471354,0.713737459,-5.559318933,MIMAT0000667|MIMAT0004666
MI0026024,1.000661935,1.01360957,0.859353155,0.40150121,0.714221625,-5.565466112,MIMAT0031398
MI0009993,-1.314039493,2.102997929,-0.83298788,0.415821394,0.714728987,-5.559715123,MIMAT0009459|MIMAT0009460
MI0022935,-1.073057375,-0.434095526,-0.836181036,0.414069797,0.714728987,-5.605438068,MIMAT0028076|MIMAT0028077
MI0024994,-1.046783054,-0.172053398,-0.824870811,0.420295329,0.714728987,-5.607987037,MIMAT0029814|MIMAT0029815
MI0022835,-1.019566417,0.067258409,-0.839354594,0.412333653,0.714728987,-5.587276861,MIMAT0027876|MIMAT0027877
MI0000225,-0.901082436,11.45648908,-0.844971108,0.409272553,0.714728987,-6.04367639,MIMAT0000212|MIMAT0004539
MI0022918,-0.868560855,4.712889645,-0.824770491,0.420350814,0.714728987,-5.673349898,MIMAT0028042|MIMAT0028043
MI0018015,-0.709637438,8.365215361,-0.84082621,0.411530174,0.714728987,-5.875622665,MIMAT0020614
MI0025017,-0.609397729,1.724334338,-0.835839169,0.4142571,0.714728987,-5.55266415,MIMAT0029860|MIMAT0029861
MI0026017,0.679668739,-0.78668028,0.82957669,0.417697831,0.714728987,-5.618353963,MIMAT0031391
MI0022838,0.715981327,0.98039045,0.848746137,0.407223364,0.714728987,-5.569111297,MIMAT0027882|MIMAT0027883
MI0000246,0.820083031,3.099054068,0.838566563,0.41276432,0.714728987,-5.584095005,MIMAT0004547|MIMAT0000236
MI0009952,0.837075509,4.443958882,0.845758736,0.408844458,0.714728987,-5.638138087,MIMAT0009428
MI0000798,1.003628049,2.825216968,0.824867654,0.420297075,0.714728987,-5.589887543,MIMAT0017081|MIMAT0000746
MI0022863,1.086316645,0.815095695,0.841313173,0.411264523,0.714728987,-5.588128668,MIMAT0027932|MIMAT0027933
MI0022801,-1.346232363,0.99382343,-0.820561204,0.422683112,0.716434582,-5.566958386,MIMAT0027808|MIMAT0027809
MI0000974,0.860794997,1.469115994,0.815782984,0.425340597,0.718678939,-5.585672643,MIMAT0000904|MIMAT0017169
MI0022925,-0.87393787,0.133533848,-0.80764945,0.429888487,0.72409342,-5.610804621,MIMAT0028056|MIMAT0028057
MI0014707,-0.931378443,-0.330613287,-0.801450813,0.433374981,0.725155895,-5.630621818,MIMAT0015646
MI0014100,-0.658668294,2.927889837,-0.799435237,0.434512481,0.725155895,-5.610581914,MIMAT0014937|MIMAT0014938
MI0000598,0.671223634,8.113614021,0.799359273,0.434555388,0.725155895,-5.889582769,MIMAT0017027|MIMAT0000559
MI0005471,0.67473876,-0.467103251,0.794207263,0.437471623,0.727769151,-5.638881112,MIMAT0004841|MIMAT0017265
MI0026044,-0.647881861,7.05295414,-0.786638682,0.441777842,0.732671559,-5.839881088,MIMAT0031418
MI0022782,0.614736565,-0.587404274,0.783926635,0.443327279,0.732985899,-5.649424326,MIMAT0027770|MIMAT0027771
MI0000563,0.573143868,11.37284611,0.774742083,0.448599547,0.739434727,-6.094173538,MIMAT0000525_1|MIMAT0017017
MI0000562,0.539213958,11.35622033,0.758759222,0.457865913,0.752407705,-6.105477705,MIMAT0000525|MIMAT0004623
MI0014047,0.613710052,0.801872426,0.754494813,0.460357868,0.754203316,-5.640544989,MIMAT0014876|MIMAT0014877
MI0004705,0.65579925,3.221764255,0.747130598,0.46468057,0.756685278,-5.656722386,MIMAT0003511|MIMAT0003512
MI0014045,0.768393224,3.63578558,0.749014531,0.463572397,0.756685278,-5.672213151,MIMAT0014872|MIMAT0014873
MI0003534,-1.093138132,1.157882536,-0.733314465,0.472856283,0.759704148,-5.628832668,MIMAT0017216|MIMAT0003184
MI0024991,-0.826489101,0.066498203,-0.725568767,0.477477186,0.759704148,-5.673676154,MIMAT0029808|MIMAT0029809
